Book_ID,Student_ID,Book_Price,Issue_Days,Late_Fee
101,201,150,3,0
102,202,180,4,0
103,203,200,5,0
104,204,220,6,5
105,205,250,7,10
106,206,270,8,15
107,207,300,10,20
108,208,320,12,25
109,209,350,14,30
110,210,380,15,40
111,211,400,16,45
112,212,420,18,50
113,213,450,20,60
114,214,480,22,70
115,215,500,25,80
116,216,520,26,90
117,217,550,28,100
118,218,580,30,120
119,219,600,32,140
120,220,650,35,160
121,221,700,38,180
122,222,750,40,200
123,223,800,42,220
124,224,850,45,250
125,225,900,48,280
126,226,950,50,300
127,227,1000,55,350
128,228,1100,60,400
129,229,1200,65,450
130,230,1300,70,500
131,231,1400,75,600
132,232,1500,80,700
133,233,1600,85,800
134,234,1700,90,900
135,235,1800,95,1000
136,236,1900,100,1200
137,237,2000,110,1500
138,238,2100,120,1800
139,239,2200,130,2000
140,240,2300,140,2500
141,241,2400,150,3000
142,242,2500,160,3500
143,243,2600,170,4000
144,244,2700,180,4500
145,245,2800,190,5000
146,246,2900,200,5500
147,247,3000,220,6000
148,248,3100,240,6500
149,249,3200,260,7000
150,250,3300,280,7500
150,250,3300,280,7500
